Market,Property,Historical Weekly Avg Entrants,Year of Date,Date,Total Entrants
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/9/2020,205
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/8/2020,184
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/7/2020,188
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/6/2020,143
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/3/2020,37
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/2/2020,148
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/1/2020,171
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/30/2020,160
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/29/2020,148
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/26/2020,135
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/25/2020,170
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/24/2020,178
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/23/2020,173
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/22/2020,151
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/19/2020,100
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/18/2020,115
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/17/2020,127
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/16/2020,142
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/15/2020,109
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/12/2020,79
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/11/2020,99
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/10/2020,109
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/9/2020,126
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/8/2020,106
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/5/2020,71
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/4/2020,66
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/3/2020,60
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/2/2020,63
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/1/2020,59
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/29/2020,48
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/28/2020,56
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/27/2020,59
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/26/2020,69
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/25/2020,9
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/22/2020,47
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/21/2020,53
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/20/2020,48
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/19/2020,64
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/18/2020,57
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/15/2020,0
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/14/2020,37
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/13/2020,56
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/12/2020,40
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/11/2020,53
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/8/2020,34
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/7/2020,43
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/6/2020,44
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/5/2020,37
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/4/2020,43
US - Rock Center,1 Rockefeller Plaza,1495,2020,5/1/2020,42
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/30/2020,34
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/29/2020,33
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/28/2020,37
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/27/2020,33
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/24/2020,36
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/23/2020,30
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/22/2020,32
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/21/2020,36
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/20/2020,24
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/17/2020,33
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/16/2020,27
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/15/2020,29
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/14/2020,34
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/13/2020,21
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/10/2020,28
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/9/2020,24
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/8/2020,25
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/7/2020,22
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/6/2020,21
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/3/2020,21
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/2/2020,26
US - Rock Center,1 Rockefeller Plaza,1495,2020,4/1/2020,21
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/31/2020,27
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/30/2020,28
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/27/2020,32
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/26/2020,28
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/25/2020,43
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/24/2020,49
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/23/2020,37
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/20/2020,147
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/19/2020,137
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/18/2020,167
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/17/2020,190
US - Rock Center,1 Rockefeller Plaza,1495,2020,3/16/2020,374
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/21/2021,174
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/15/2021,303
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/13/2021,310
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/10/2021,279
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/9/2021,442
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/8/2021,420
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/7/2021,396
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/6/2021,394
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/3/2021,272
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/2/2021,392
